time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-08-09T14:10:14.372Z,56.16956518,37.50594481,183.2132568359375,8.576,192.3,18.6,0,gps,,,,,,,,40,
2020-08-09T14:10:16.000Z,56.16926367,37.50584517,188.21844482421875,6.432,193.1,18.69,13,gps,,,,,,,,40,
2020-08-09T14:10:17.000Z,56.16910377,37.50574031,186.64434814453125,5.36,195.6,18.82,16,gps,,,,,,,,40,
2020-08-09T14:10:18.000Z,56.16894634,37.50563335,187.00189208984375,5.36,198.9,18.62,16,gps,,,,,,,,40,
2020-08-09T14:10:19.000Z,56.16880661,37.50550278,182.5689697265625,4.288,201.6,18.32,18,gps,,,,,,,,40,
2020-08-09T14:10:20.000Z,56.1686566,37.5053754,182.24139404296875,4.288,204.0,18.33,17,gps,,,,,,,,40,
2020-08-09T14:10:21.000Z,56.16852433,37.50523527,180.03472900390625,3.216,207.3,17.71,17,gps,,,,,,,,40,
2020-08-09T14:10:22.000Z,56.16838598,37.5051025,179.73907470703125,3.216,207.4,17.43,18,gps,,,,,,,,40,
2020-08-09T14:10:23.000Z,56.16824811,37.50497125,179.2384033203125,3.216,207.8,17.3,18,gps,,,,,,,,40,
2020-08-09T14:10:24.000Z,56.16810875,37.50483867,178.56402587890625,3.216,207.7,17.51,16,gps,,,,,,,,40,
2020-08-09T14:10:25.000Z,56.16796992,37.50470614,175.6402587890625,3.216,207.4,18.03,15,gps,,,,,,,,40,
2020-08-09T14:10:26.000Z,56.16781792,37.50457041,182.8209228515625,3.216,207.2,18.09,15,gps,,,,,,,,40,
2020-08-09T14:10:27.000Z,56.16767537,37.50443385,181.3109130859375,3.216,207.7,18.05,15,gps,,,,,,,,40,
2020-08-09T14:10:28.000Z,56.16752545,37.50429424,180.1337890625,3.216,206.4,18.34,15,gps,,,,,,,,40,
2020-08-09T14:10:29.000Z,56.16737748,37.5041538,179.04376220703125,3.216,206.5,18.51,15,gps,,,,,,,,40,
2020-08-09T14:10:30.000Z,56.1672329,37.50401125,177.8929443359375,3.216,207.0,18.44,15,gps,,,,,,,,40,
2020-08-09T14:10:31.000Z,56.16708508,37.50387563,178.60284423828125,3.216,206.9,18.49,15,gps,,,,,,,,40,
2020-08-09T14:10:32.000Z,56.16693897,37.50373489,178.212158203125,3.216,206.6,18.26,15,gps,,,,,,,,40,
2020-08-09T14:10:33.000Z,56.16678834,37.50359898,177.34503173828125,3.216,207.2,18.24,15,gps,,,,,,,,40,
2020-08-09T14:10:34.000Z,56.16664458,37.50345744,175.73724365234375,3.216,207.2,18.48,16,gps,,,,,,,,40,
2020-08-09T14:10:35.000Z,56.16648825,37.50331942,176.63092041015625,3.216,207.2,18.84,16,gps,,,,,,,,40,
2020-08-09T14:10:36.000Z,56.16633654,37.50317372,177.17474365234375,3.216,207.4,18.9,16,gps,,,,,,,,40,
2020-08-09T14:10:37.000Z,56.16618107,37.50303706,177.4990234375,3.216,207.1,19.0,16,gps,,,,,,,,40,
2020-08-09T14:10:38.000Z,56.16602384,37.50290565,179.09765625,3.216,208.1,19.1,15,gps,,,,,,,,40,
