
time;ax;ay;az;Latitude;Longitude;Speed (m/s);
00:45:02:278;0,0128;-0,0853;0,2037;0,00000000;0,00000000;0,00000000;
00:45:02:279;0,0360;-0,0984;0,2047;56,33834178;37,52294628;0,00000000;
00:45:02:281;0,0002;-0,0693;0,1852;56,33834178;37,52294628;0,00000000;
00:45:02:281;0,0035;-0,0509;0,1332;56,33834178;37,52294628;0,00000000;
00:45:02:282;-0,0097;-0,0573;0,0771;56,33834178;37,52294628;0,00000000;
00:45:02:284;-0,0729;-0,0546;-0,0191;56,33834178;37,52294628;0,00000000;
00:45:02:285;-0,0760;0,0004;-0,0217;56,33834178;37,52294628;0,00000000;
00:45:02:286;-0,0458;0,0076;-0,0291;56,33834178;37,52294628;0,00000000;
00:45:02:288;-0,0111;0,0318;-0,0918;56,33834178;37,52294628;0,00000000;
00:45:02:293;0,0135;0,0493;-0,1859;56,33834178;37,52294628;0,00000000;
00:45:02:295;0,0135;0,0493;-0,1859;56,33834178;37,52294628;0,00000000;
00:45:02:297;0,0185;0,0435;-0,1682;56,33834178;37,52294628;0,00000000;
00:45:02:306;0,0086;0,0479;-0,1606;56,33834178;37,52294628;0,00000000;
00:45:02:308;-0,0184;0,0483;-0,0916;56,33834178;37,52294628;0,00000000;
00:45:02:311;-0,0217;0,0444;-0,0852;56,33834178;37,52294628;0,00000000;
00:45:02:313;-0,0217;0,0444;-0,0852;56,33834178;37,52294628;0,00000000;
00:45:02:317;0,0130;0,0409;-0,0601;56,33834178;37,52294628;0,00000000;
00:45:02:321;0,0308;0,0021;-0,0235;56,33834178;37,52294628;0,00000000;
00:45:02:325;0,0581;0,0638;0,0346;56,33834178;37,52294628;0,00000000;
00:45:02:330;0,0544;0,0106;0,0616;56,33834178;37,52294628;0,00000000;
00:45:02:335;0,0104;-0,0260;0,0792;56,33834178;37,52294628;0,00000000;
00:45:02:340;0,0168;-0,0151;0,0540;56,33834178;37,52294628;0,00000000;
00:45:02:345;0,0187;-0,0021;0,0579;56,33834178;37,52294628;0,00000000;
00:45:02:352;-0,0175;0,0152;0,0979;56,33834178;37,52294628;0,00000000;
00:45:02:356;-0,0557;-0,0085;0,0306;56,33834178;37,52294628;0,00000000;
00:45:02:360;-0,0557;-0,0085;0,0306;56,33834178;37,52294628;0,00000000;
00:45:02:362;-0,0316;0,0058;0,0116;56,33834178;37,52294628;0,00000000;
00:45:02:366;-0,0481;0,0198;-0,0072;56,33834178;37,52294628;0,00000000;
00:45:02:371;-0,0481;0,0198;-0,0072;56,33834178;37,52294628;0,00000000;
00:45:02:373;-0,0527;0,0216;-0,0355;56,33834178;37,52294628;0,00000000;
00:45:02:376;-0,0454;0,0211;-0,0685;56,33834178;37,52294628;0,00000000;
00:45:02:381;-0,0478;0,0397;-0,0681;56,33834178;37,52294628;0,00000000;
00:45:02:388;-0,0264;0,0777;-0,1109;56,33834178;37,52294628;0,00000000;
00:45:02:393;0,0090;0,0944;-0,1301;56,33834178;37,52294628;0,00000000;
00:45:02:397;0,0083;0,0302;-0,0946;56,33834178;37,52294628;0,00000000;
00:45:02:404;-0,0308;0,0263;-0,0666;56,33834178;37,52294628;0,00000000;
