time,click
2020-09-29 16:35:50.553503,d
2020-09-29 16:35:52.062510,a
2020-09-29 16:35:54.390534,d
2020-09-29 16:35:54.706963,a
2020-09-29 16:35:57.936103,a
2020-09-29 16:35:58.741931,d
2020-09-29 16:36:00.632323,a
2020-09-29 16:36:04.744766,a
2020-09-29 16:36:05.875871,d
2020-09-29 16:36:09.589401,a
2020-09-29 16:36:10.640938,d
2020-09-29 16:36:15.163026,a
2020-09-29 16:36:16.016005,d
2020-09-29 16:36:20.879782,d
2020-09-29 16:36:21.330666,a
2020-09-29 16:36:23.714511,a
2020-09-29 16:36:25.714511,d
2020-09-29 16:36:27.627687,a
2020-09-29 16:36:30.194500,d
2020-09-29 16:36:33.123879,a
2020-09-29 16:36:33.472133,d
2020-09-29 16:36:36.733455,d
2020-09-29 16:36:41.252188,a
2020-09-29 16:36:43.545219,a
2020-09-29 16:36:44.025590,d
2020-09-29 16:36:49.385310,d
2020-09-29 16:36:51.048854,a
2020-09-29 16:36:53.717306,d
2020-09-29 16:36:56.835244,d
2020-09-29 16:37:00.532236,a
2020-09-29 16:37:00.825654,d
2020-09-29 16:37:03.514659,d
2020-09-29 16:37:04.712773,a
2020-09-29 16:37:08.108295,d
2020-09-29 16:37:10.475127,a
2020-09-29 16:37:17.575752,a
2020-09-29 16:37:17.868912,d
2020-09-29 16:37:21.295683,a
2020-09-29 16:37:21.824201,d
2020-09-29 16:37:25.233513,a
2020-09-29 16:37:25.620562,d
2020-09-29 16:37:31.934555,d
2020-09-29 16:37:32.626930,a
2020-09-29 16:37:35.573265,d
2020-09-29 16:37:38.402190,a
2020-09-29 16:37:40.356065,d
2020-09-29 16:37:42.780348,a
2020-09-29 16:37:46.406973,a
2020-09-29 16:37:46.872963,d
2020-09-29 16:37:50.403142,d
2020-09-29 16:37:51.082342,a
2020-09-29 16:37:55.809723,d
2020-09-29 16:37:57.381061,a
2020-09-29 16:38:01.340535,d
2020-09-29 16:38:03.185897,a
2020-09-29 16:38:06.760461,d
2020-09-29 16:38:08.891047,a
2020-09-29 16:38:12.456158,a
2020-09-29 16:38:12.840868,d
2020-09-29 16:38:16.691475,d
2020-09-29 16:38:16.968684,a
2020-09-29 16:38:21.633885,d
2020-09-29 16:38:23.270505,a
2020-09-29 16:38:25.288804,d
2020-09-29 16:38:26.043679,a
2020-09-29 16:38:29.581571,d
2020-09-29 16:38:30.127619,a
2020-09-29 16:38:33.479015,d
2020-09-29 16:38:37.854894,d
2020-09-29 16:38:40.531344,d
2020-09-29 16:38:43.452010,a
2020-09-29 16:38:47.697172,d
2020-09-29 16:38:53.683220,d
2020-09-29 16:38:54.688615,a
2020-09-29 16:38:57.719274,d
2020-09-29 16:38:59.107148,a
2020-09-29 16:39:02.603768,a
2020-09-29 16:39:04.419136,a
2020-09-29 16:39:05.163195,d
2020-09-29 16:39:09.735281,d
2020-09-29 16:39:10.147170,a
2020-09-29 16:39:13.137880,a
2020-09-29 16:39:15.377324,d
2020-09-29 16:39:16.978865,a
2020-09-29 16:39:20.837934,d
2020-09-29 16:39:22.270667,a
2020-09-29 16:39:27.621251,d
2020-09-29 16:39:28.483016,a
2020-09-29 16:39:30.810592,a
2020-09-29 16:39:32.659645,d
2020-09-29 16:39:33.782733,a
2020-09-29 16:39:38.608588,d
2020-09-29 16:39:39.000662,a
2020-09-29 16:39:44.337144,d
2020-09-29 16:39:47.973860,d
2020-09-29 16:39:49.479707,a
2020-09-29 16:39:51.371249,a
2020-09-29 16:39:53.969260,d
2020-09-29 16:39:54.887531,a
2020-09-29 16:39:58.841778,d
2020-09-29 16:40:00.177090,a
2020-09-29 16:40:04.238533,a
2020-09-29 16:40:05.958345,d
2020-09-29 16:40:08.035724,a
2020-09-29 16:40:15.483238,d
2020-09-29 16:40:15.944309,a
2020-09-29 16:40:21.216075,a
2020-09-29 16:40:21.781651,d
2020-09-29 16:40:24.218720,a
2020-09-29 16:40:26.307200,d
2020-09-29 16:40:30.355467,a
2020-09-29 16:40:32.800815,d
2020-09-29 16:40:34.527688,a
2020-09-29 16:40:37.678268,a
2020-09-29 16:40:37.932917,d
2020-09-29 16:40:42.641575,d
2020-09-29 16:40:45.075917,a
2020-09-29 16:40:46.896319,d
2020-09-29 16:40:51.612483,d
2020-09-29 16:40:51.973312,a
2020-09-29 16:40:56.335234,a
2020-09-29 16:40:57.161938,d
2020-09-29 16:40:59.260565,a
2020-09-29 16:41:02.456497,d
2020-09-29 16:41:05.150067,a
2020-09-29 16:41:09.305378,a
2020-09-29 16:41:09.738152,d
2020-09-29 16:41:13.947340,a
2020-09-29 16:41:14.858827,d
2020-09-29 16:41:17.013438,a
2020-09-29 16:41:18.447532,d
2020-09-29 16:41:22.711809,d
2020-09-29 16:41:23.720488,a
2020-09-29 16:41:27.032584,d
2020-09-29 16:41:27.520515,a
2020-09-29 16:41:31.185087,a
2020-09-29 16:41:32.059146,d
2020-09-29 16:41:34.483413,a
2020-09-29 16:41:36.623129,d
2020-09-29 16:41:39.540630,a
2020-09-29 16:41:41.687912,d
2020-09-29 16:41:42.650346,a
2020-09-29 16:41:46.395570,d
2020-09-29 16:41:46.771309,a
2020-09-29 16:41:51.175019,d
2020-09-29 16:41:51.826787,a
2020-09-29 16:41:55.227734,d
2020-09-29 16:41:55.528188,a
2020-09-29 16:41:58.378455,a
2020-09-29 16:41:59.714755,d
2020-09-29 16:42:03.741128,d
2020-09-29 16:42:06.887851,a
2020-09-29 16:42:07.408051,d
2020-09-29 16:42:10.081620,a
2020-09-29 16:42:12.065526,d
2020-09-29 16:42:13.573786,a
2020-09-29 16:42:15.354927,d
2020-09-29 16:42:19.733787,d
2020-09-29 16:42:22.105648,a
2020-09-29 16:42:23.396182,d
2020-09-29 16:42:25.347959,a
2020-09-29 16:42:26.553339,d
2020-09-29 16:42:28.989439,a
2020-09-29 16:42:29.663138,d
2020-09-29 16:42:33.167760,d
2020-09-29 16:42:35.090537,a
2020-09-29 16:42:38.085910,d
2020-09-29 16:42:38.814409,a
2020-09-29 16:42:42.687245,d
2020-09-29 16:42:43.380545,a
2020-09-29 16:42:50.296947,a
2020-09-29 16:42:50.785897,d
2020-09-29 16:42:52.462330,a
2020-09-29 16:42:53.590097,d
2020-09-29 16:42:57.327360,a
2020-09-29 16:43:01.131330,d
2020-09-29 16:43:01.723580,a
2020-09-29 16:43:04.366548,d
2020-09-29 16:43:04.646799,a
2020-09-29 16:43:09.764475,a
2020-09-29 16:43:12.322668,d
2020-09-29 16:43:14.966505,a
2020-09-29 16:43:16.655343,d
2020-09-29 16:43:18.922411,a
2020-09-29 16:43:20.393451,d
2020-09-29 16:43:22.075793,a
2020-09-29 16:43:24.040049,d
2020-09-29 16:43:24.420581,a
2020-09-29 16:43:27.307972,d
2020-09-29 16:43:31.019610,a
2020-09-29 16:43:32.049777,d
2020-09-29 16:43:33.712822,a
2020-09-29 16:43:36.168699,d
2020-09-29 16:43:38.153155,a
2020-09-29 16:43:38.633817,d
2020-09-29 16:43:40.592463,d
2020-09-29 16:43:44.695961,a
2020-09-29 16:43:45.846709,d
2020-09-29 16:43:48.826844,a
2020-09-29 16:43:49.612993,d
2020-09-29 16:43:53.244384,a
2020-09-29 16:43:54.184844,d
2020-09-29 16:43:57.937037,d
2020-09-29 16:44:00.274433,a
2020-09-29 16:44:01.193990,d
2020-09-29 16:44:04.519996,d
2020-09-29 16:44:05.022331,a
2020-09-29 16:44:08.267217,d
2020-09-29 16:44:10.892407,a
2020-09-29 16:44:12.599914,d
2020-09-29 16:44:14.316628,a
2020-09-29 16:44:18.160523,d
2020-09-29 16:44:18.736735,a
2020-09-29 16:44:22.683662,d
2020-09-29 16:44:23.151476,a
2020-09-29 16:44:26.440038,a
2020-09-29 16:44:28.268216,d
2020-09-29 16:44:30.374262,a
2020-09-29 16:44:33.326909,a
2020-09-29 16:44:35.707396,d
2020-09-29 16:44:36.019471,a
2020-09-29 16:44:39.741517,a
2020-09-29 16:44:40.316933,d
2020-09-29 16:44:44.583467,d
2020-09-29 16:44:46.045436,a
2020-09-29 16:44:48.609713,a
2020-09-29 16:44:49.161714,d
2020-09-29 16:44:52.720041,a
2020-09-29 16:44:53.768954,d
2020-09-29 16:44:58.725101,d
2020-09-29 16:45:01.025417,a
2020-09-29 16:45:03.189997,d
2020-09-29 16:45:08.242771,a
2020-09-29 16:45:09.691455,d
2020-09-29 16:45:11.785872,a
2020-09-29 16:45:14.983309,d
2020-09-29 16:45:15.620987,a
2020-09-29 16:45:19.860328,d
2020-09-29 16:45:20.919694,a
2020-09-29 16:45:24.213637,d
2020-09-29 16:45:26.735686,a
2020-09-29 16:45:28.310436,d
2020-09-29 16:45:30.530811,a
2020-09-29 16:45:34.482624,d
2020-09-29 16:45:35.049120,a
2020-09-29 16:45:38.403405,a
2020-09-29 16:45:41.124801,d
2020-09-29 16:45:41.967632,a
